название программы,стоимость обучения,код специальности,время обучения,профессия,учебный план
Математика,280000,01.03.02,4 года,"Математик, преподаватель математики",
Прикладная математика и информатика,320000,01.03.02,4 года,"Прикладной математик, аналитик данных",
Физика,260000,03.03.02,4 года,"Физик, исследователь",
Геодезия и землеустройство,290000,05.03.02,4 года,"Геометрист, геодезист",
Картография и геоинформатика,310000,05.03.03,4 года,"Картограф, геоинформатик",
Аэрогеодезия,300000,05.03.04,4 года,"Аэрогеодезист, съемщик",
Архитектура,350000,07.03.01,5 лет,"Архитектор, дизайнер архитектуры",
Дизайн архитектурной среды,340000,07.03.03,4 года,Дизайнер архитектурной среды,
Регионоведение России,250000,07.03.04,4 года,"Регионовед, эксперт",
Строительство,280000,08.03.01,4 года,"Строитель, инженер-строитель",
Теплоэнергетика и теплотехника,290000,08.03.02,4 года,"Теплоэнергетик, инженер",
Водоснабжение и водоотведение,285000,08.03.03,4 года,Инженер водоснабжения,
Строительство,280000,08.05.01,5 лет,Строитель Specialist,
Архитектурное строительство,360000,08.03.04,5 лет,Архитектор-строитель,
Жилищное хозяйство и коммунальная инфраструктура,270000,08.03.05,4 года,Менеджер ЖКХ,
Информатика и вычислительная техника,350000,09.03.01,4 года,"IT-инженер, разработчик",
Информационные системы и технологии,340000,09.03.02,4 года,"IT-специалист, системный администратор",
Прикладная информатика,330000,09.03.03,4 года,"Прикладной аналитик, IT-консультант",
Программная инженерия,360000,09.03.04,4 года,"Программист, разработчик ПО",
Информационная безопасность,370000,09.09.02,5 лет,Специалист по ИБ,
Информатика и вычислительная техника,380000,09.04.01,2 года,"IT-архитектор, lead разработчик",
Информационные системы и технологии,370000,09.04.02,2 года,IT-системный архитектор,
Прикладная информатика,360000,09.04.03,2 года,IT-аналитик высшего уровня,
Программная инженерия,390000,09.04.04,2 года,"Senior разработчик, IT-менеджер",
Информационная безопасность,400000,09.04.05,2 года,Кибербезопасность эксперт,
Информационная безопасность,380000,10.03.01,4 года,Специалист ИБ,
Защита информационных систем,390000,10.03.02,4 года,Специалист по защите,
Информационная безопасность,410000,10.04.01,2 года,Expert ИБ,
Электроника и наноэлектроника,340000,11.03.01,4 года,"Электроник, наноинженер",
Радиотехника,330000,11.03.02,4 года,Радиотехник,
Антенны и системы передачи,350000,11.03.03,4 года,Специалист антенн,
Электроника и наноэлектроника,360000,11.04.01,2 года,Senior электроник,
Радиотехника,350000,11.04.02,2 года,Радиотехник эксперт,
Фотоника и оптика,330000,12.03.01,4 года,"Оптик, фотоник",
Биотехнические системы и технологии,350000,12.03.04,4 года,Биотехник,
Лазерная техника и лазерные технологии,360000,12.03.05,4 года,Лазерный инженер,
